,aker,amaunet,ammit,amun,anhur,anubis,anuket,apep,apis,ash,aten,atum,babi,bastet,bat,bennu,bes,ennead,forty_two_assessors,four_sons_of_horus,geb,hapi,harpocrates,hathor,heka,heqet,hermanubis,horus,horus_the_elder,hu_and_sia,huh_and_hauhet,ihy,imhotep,isis,iusaaset,kek_and_kauket,khepri,khnum,khonsu,maat,mafdet,mehit,meretseger,min,mnevis,montu,mut,nefertum,neith,nekhbet,nephthys,nun_and_naunet,nut,ogdoad,osiris,ptah,ra,renenutet,satis,sekhmet,serapis,serket,seshat,set,shai,shu,sobek,sokar,sopdet,sopdu,tatenen,taweret,tefnut,thoth,wadjet,wepwawet,werethekau
ennead,0,0,0,1,0,1,0,1,0,0,0,3,1,0,0,0,0,,0,0,3,1,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
forty_two_assessors,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
four_sons_of_horus,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
geb,2,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,3,0,3,,1,0,0,0,0,0,2,2,1,0,0,0,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,1,3,2,3,2,1,0,0,0,0,2,1,4,1,0,0,1,1,0,3,1,0,1,0
hapi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
harpocrates,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,,0,0,0,1,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
hathor,0,1,0,2,1,0,1,0,1,0,1,2,1,1,2,0,3,2,0,0,0,0,0,,1,1,0,5,1,0,0,8,0,2,1,1,0,0,1,0,0,1,2,3,0,2,2,0,0,2,1,1,2,1,1,1,4,1,0,3,0,1,0,1,1,1,1,1,1,1,0,1,2,4,1,1,1
heka,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,1,0,3,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
heqet,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,1,0,0,2,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hermanubis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
horus,1,0,1,2,2,3,0,0,1,1,1,3,0,1,1,0,3,1,1,3,2,1,1,5,1,0,0,,0,1,0,3,1,8,1,0,1,1,1,2,0,2,0,4,1,1,0,1,2,2,4,0,4,0,5,3,6,0,1,1,0,2,1,8,1,1,4,2,1,1,2,1,2,7,4,2,2
horus_the_elder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
hu_and_sia,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
huh_and_hauhet,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
ihy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,8,0,2,0,3,0,1,1,,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imhotep,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
isis,0,0,1,0,1,7,0,1,3,0,1,2,0,1,1,0,2,1,0,2,2,1,4,2,1,1,1,8,2,1,0,1,1,,1,0,2,1,1,0,1,0,0,2,2,0,1,0,3,1,6,1,2,1,5,3,6,2,1,0,2,2,1,3,1,2,1,1,2,1,1,1,2,4,1,3,2
iusaaset,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0
kek_and_kauket,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
khepri,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0
khnum,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,1,0,0,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,3,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
khonsu,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
maat,0,0,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,6,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,3,6,0,0,1
mafdet,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
mehit,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
meretseger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
min,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,1,1,0
mnevis,0,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
montu,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mut,0,1,0,3,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1
nefertum,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
neith,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,,0,2,0,1,1,3,1,4,0,0,0,0,2,0,2,0,0,3,0,0,0,1,1,0,2,0,1,1
nekhbet,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
nephthys,0,0,1,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,4,2,1,0,1,0,6,1,0,1,1,0,0,1,0,0,1,2,0,0,0,2,1,,0,2,0,4,1,2,0,1,0,0,3,1,2,1,1,0,0,1,0,0,0,1,1,0,1,0
nun_and_naunet,0,2,0,3,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,2,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
nut,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,0,2,0,0,0,4,2,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,,1,2,0,3,0,1,0,0,0,1,1,1,3,0,1,1,0,0,1,1,4,0,1,0
ogdoad,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0
osiris,1,0,1,1,0,6,0,2,4,0,1,4,1,0,0,3,0,2,1,2,3,2,1,1,1,2,2,5,3,2,1,2,0,5,1,1,2,1,2,3,2,1,2,4,2,1,0,1,3,1,4,1,2,1,,3,4,1,1,0,1,1,0,5,1,3,1,4,2,1,2,1,2,5,0,4,1
ptah,0,0,0,1,0,0,0,0,4,0,1,2,0,1,0,0,1,2,0,0,2,1,0,1,1,0,0,3,0,1,0,0,1,3,0,0,1,0,1,2,0,0,2,0,0,0,0,1,1,0,1,2,0,1,3,,2,0,0,1,0,0,0,1,1,1,0,2,0,1,2,0,2,1,1,1,3
ra,1,2,1,2,0,2,0,6,0,0,3,1,1,3,0,2,0,0,0,1,3,0,0,4,1,0,0,6,0,3,0,0,0,6,3,0,2,3,0,6,3,0,0,2,0,1,1,0,4,1,2,6,3,1,4,2,,0,0,5,0,2,0,3,0,2,1,0,0,0,0,1,2,5,3,1,0
renenutet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,1,0,4,0,3,0,0,0,1,0,0,0,1,0,1
satis,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
sekhmet,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,5,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,2
serapis,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serket,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,2,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
seshat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,6,0,0,0
set,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,8,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,5,1,3,0,0,0,0,0,0,,0,1,1,0,0,0,0,2,0,2,0,0,0
shai,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,4,0,0,0,0,0,0,,1,0,0,0,0,1,0,1,3,0,0,0
shu,2,2,1,1,1,0,0,0,0,0,3,4,0,1,0,1,0,1,0,1,4,0,0,1,0,0,0,1,1,1,1,0,0,2,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,1,1,3,2,3,1,2,0,1,1,0,0,0,1,1,,0,0,0,1,2,0,6,2,0,1,0
sobek,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,0,0
sokar,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,1,0
sopdet,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,,2,0,0,1,0,0,0,1
sopdu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,,0,0,1,1,0,0,0
tatenen,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,2,0,1,0,0,0,0,0,0,1,2,0,1,0,0,,0,1,0,0,0,0
taweret,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,,0,0,0,0,0
tefnut,1,1,1,1,4,0,0,0,0,0,0,3,0,1,1,1,1,0,0,1,3,0,0,2,1,0,0,2,0,1,1,0,0,2,2,0,2,1,0,3,1,1,0,0,0,0,2,0,0,0,1,1,1,0,2,2,2,0,0,2,0,0,0,0,1,6,0,0,1,1,1,0,,2,1,1,0
thoth,1,0,1,1,1,5,0,0,1,1,0,2,5,1,0,0,1,1,1,1,1,0,2,4,0,1,0,7,0,1,1,0,1,4,1,1,1,0,2,6,0,0,0,0,0,0,1,0,2,1,1,1,4,4,5,1,5,0,0,1,0,1,6,2,3,2,0,1,0,1,0,0,2,,0,1,1
wadjet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1
wepwawet,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,,0
werethekau,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
