,adad_ishkur,adapa,anshar_and_kishar,anu,anunnaki,anzu,apkallu,apsu,ashnan,ashur,bel,dumuzi_tammuz,enki_ea,enkidu,enlil,enmesharra,ereshkigal,erra,geshtinanna,gilgamesh_deified,girra,gula,humbaba,igigi,inanna_ishtar,ishara,ishum,kingu,lahmu_and_lahamu,lamashtu,lamassu,lugalbanda,marduk,mummu,mushussu,nabu,nammu,namtar,nanna_sin,nanshe,nergal,ninazu,ningishzida,ninhursag,ninkasi,ninlil,ninmah,ninshubur,ninsun,ninurta,nisaba,nusku,pazuzu,sarpanit,sibitti,tashmetu,tiamat,utnapishtim,utu_shamash,zababa
bel,1,0,1,4,0,1,0,1,0,0,,0,6,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,2,0,1,2,0,1,2,0,0,0,3,0,0,0,2,0,1,0,1,0,0,3,1,2,0
dumuzi_tammuz,0,1,0,2,0,0,1,0,0,0,0,,2,3,0,2,2,0,9,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0
enki_ea,2,7,1,5,5,2,4,5,3,0,6,2,,2,8,2,3,0,0,1,2,1,0,3,8,0,2,0,1,1,0,0,6,4,1,0,5,3,1,2,0,0,4,9,3,0,5,4,0,3,2,1,0,0,1,0,1,8,1,0
enkidu,0,0,0,2,0,0,0,0,0,0,0,3,2,,2,0,1,0,1,10,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,7,0
enlil,4,0,1,7,2,4,0,0,4,1,1,0,8,2,,5,0,1,0,3,3,2,2,2,4,0,2,0,0,1,0,0,3,0,2,0,0,2,6,1,2,3,1,3,1,8,5,3,0,6,6,6,0,1,0,0,0,7,2,1
enmesharra,0,0,1,2,0,1,0,1,0,0,0,2,2,0,5,,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0
ereshkigal,0,0,0,1,1,0,0,0,0,0,0,2,3,1,0,0,,2,1,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
erra,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,2,,0,0,2,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,4,0,0,1,0,0
geshtinanna,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
gilgamesh_deified,0,0,0,3,1,1,0,0,0,0,0,1,1,10,3,0,2,0,0,,0,0,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,7,5,0
girra,1,0,0,2,0,2,0,0,0,0,0,0,2,0,3,1,0,2,0,0,,0,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0
gula,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
humbaba,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
igigi,0,0,0,3,7,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
inanna_ishtar,0,0,1,8,3,1,3,0,0,2,3,10,8,2,4,0,10,0,5,5,1,0,0,1,,4,2,0,1,1,3,2,0,0,1,0,0,4,4,0,0,0,0,0,1,0,0,8,1,0,0,1,1,0,1,2,0,0,5,3
ishara,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
ishum,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,2,0,0,0,2,0,,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0
kingu,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,,0,0,0,0,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0
lahmu_and_lahamu,0,0,4,1,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0
lamashtu,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,1,0
lamassu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lugalbanda,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0
marduk,0,1,4,3,5,0,2,1,0,1,1,0,6,0,3,3,0,3,0,0,3,0,0,3,0,0,1,5,2,1,0,0,,2,2,7,0,0,2,0,3,1,0,1,0,0,0,0,0,2,0,1,0,3,3,2,7,0,2,1
mummu,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
mushussu,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
nabu,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,6,1,0,0,0
nammu,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
namtar,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,6,0,1,2,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
nanna_sin,0,0,0,1,1,0,0,0,1,0,2,0,1,1,6,0,0,1,0,1,0,0,0,2,4,1,0,0,0,0,1,0,2,0,1,0,0,0,,0,1,3,0,1,0,4,0,1,0,0,1,3,1,0,1,0,0,0,3,0
nanshe,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
nergal,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,1,0,,3,1,0,0,2,0,2,0,1,0,1,0,0,2,0,0,0,0,1
ninazu,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ningishzida,0,1,0,2,0,0,0,0,0,0,0,3,4,1,1,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,1,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
ninhursag,0,0,0,2,1,1,0,0,0,0,0,0,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,,3,1,2,0,0,3,1,0,0,0,0,0,0,2,0,0
ninkasi,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ninlil,0,0,0,0,0,0,0,0,1,1,3,0,0,1,8,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,2,3,0,1,0,,2,0,0,4,5,4,0,1,0,0,0,0,0,0
ninmah,0,0,0,4,1,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,,0,0,4,0,0,0,0,0,0,0,0,0,0
ninshubur,0,0,0,5,0,0,0,0,0,0,0,1,4,0,3,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0
ninsun,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,0
ninurta,3,0,0,3,2,3,0,0,0,1,2,0,3,0,6,2,0,2,0,0,2,2,0,2,0,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,3,0,4,4,0,0,,1,3,0,0,0,0,0,1,1,2
nisaba,0,0,0,3,1,0,0,0,4,0,0,0,2,0,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,1,1,5,0,0,0,1,,1,0,0,0,1,0,0,0,0
nusku,1,0,0,2,0,1,0,1,0,0,1,0,1,0,6,0,0,0,0,0,3,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,3,0,1,0,0,0,1,4,0,0,0,3,1,,2,0,0,0,0,0,0,0
pazuzu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,1,0,0,0,0,0
sarpanit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,2,0,0,0,0
sibitti,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,1,0,2,0,0,1,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0
tashmetu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,,0,0,0,0
tiamat,0,0,3,4,1,0,0,4,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
utnapishtim,2,0,0,3,1,0,0,0,0,0,1,0,8,0,7,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0
utu_shamash,2,0,0,2,1,2,1,0,1,0,2,5,1,7,2,1,1,0,2,5,1,0,4,0,5,0,3,0,1,1,0,4,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,,0
zababa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
