,aesculapius,aurora,bacchus_liber,bellona,carmenta,castor_and_pollux_in_rome,ceres,cloacina,concordia,consus,cupid,cybele_magna_mater,diana,egeria,fama,faunus,feronia,fides,flora,fortuna,genius,hercules_in_rome,isis_in_rome,janus,juno,jupiter,juventas,lares,libertas,lucina,luna,manes,mania,mars,mater_matuta,mercury,minerva,mithras_roman,neptune,ops,pax,penates,picus,pietas,pluto_dis_pater,pomona,portunus,proserpina,quirinus,robigus,roma_dea,salus,saturn,silvanus,sol_invictus,spes,summanus,terminus,vediovis,venus,veritas,vertumnus,vesta,victoria,vulcan
cupid,0,0,1,0,0,0,2,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2
cybele_magna_mater,0,0,1,3,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0
diana,3,1,1,0,0,1,0,0,0,0,1,0,,3,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,0,0
egeria,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
faunus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
feronia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fides,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0
flora,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fortuna,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,1,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
genius,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,1,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hercules_in_rome,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0,0,3,2,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
isis_in_rome,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
janus,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,6,0,1,0,0,1,0,0,0,2,1,0,0
juno,0,0,3,0,0,0,2,0,2,0,1,0,2,0,0,1,1,1,2,2,1,3,2,2,,9,2,0,0,4,1,0,0,4,1,1,6,0,2,2,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,5,0,0,2,2,7
jupiter,3,3,4,1,0,3,4,0,1,0,1,4,2,1,1,1,1,5,1,2,1,2,1,2,9,,3,0,1,4,2,1,0,6,0,11,7,0,6,3,1,2,1,0,3,0,0,5,3,0,1,0,4,0,2,0,4,3,3,8,1,0,2,3,3
juventas,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
lares,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,2,2,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
libertas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
lucina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
luna,0,1,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0
manes,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
mania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mars,0,1,2,6,0,0,0,0,0,2,1,0,0,0,1,0,1,1,2,1,1,1,0,0,4,6,2,1,0,1,0,1,0,,1,0,3,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,2,2,0,0,1,0,5,0,0,1,1,2
mater_matuta,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
mercury,0,0,3,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,2,1,1,0,1,11,0,3,0,0,0,0,0,0,0,,3,0,1,0,1,0,0,0,2,0,0,3,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,1
minerva,2,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,6,7,1,0,0,0,0,0,0,3,0,3,,0,5,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2,3,4
mithras_roman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
neptune,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,1,1,1,5,0,,1,0,1,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,1
ops,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,0,0,0,1,0,0,0,3,0,0
pax,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
penates,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
picus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
pietas,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pluto_dis_pater,1,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0,0,2,0,0,3,1,0,0,0,0,,0,0,4,0,0,0,0,4,0,0,0,1,0,2,1,0,0,1,0,0
pomona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0
portunus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
proserpina,0,0,2,0,0,0,4,0,0,0,2,0,3,0,0,0,1,0,0,0,0,1,1,0,1,5,0,0,0,0,1,1,0,0,0,3,1,0,0,2,0,0,0,0,4,0,0,,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0
quirinus,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
robigus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roma_dea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0
salus,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,2,0
saturn,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,2,4,0,0,0,1,1,0,0,0,0,0,0,0,2,7,0,0,1,0,4,0,0,1,0,0,0,0,,0,1,0,0,0,1,2,1,0,2,0,0
silvanus,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,0,0,0
sol_invictus,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,2,0,0,1,0,3
spes,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,2,0
summanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0
terminus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
vediovis,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,,0,0,1,0,0,1
venus,0,1,2,0,0,0,2,1,0,0,8,0,1,0,1,0,0,0,0,1,0,0,1,0,5,8,0,0,0,0,0,0,0,5,1,4,2,0,3,0,0,0,0,0,1,0,1,3,0,0,1,0,2,0,2,0,0,0,0,,0,0,2,1,5
veritas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0
vertumnus,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,,0,0,0
vesta,0,0,0,0,0,0,2,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,1,0,0,2,0,1,3,0,2,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,,1,1
victoria,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,3,0,0,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,1,,0
vulcan,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,1,0,
